Nombre,Posicion,Numero,Equipo,Prediccion,Color,Probabilidad,Alinear,Rojo,Naranja,Verde,Azul
Juan Herzog,CB,28,Las Palmas,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Alberto Moleiro,LW,10,Las Palmas,-2.75,Naranja,71.27,No,21.93,71.27,3.8,3.0
Fábio Silva,FW,37,Las Palmas,12.75,Naranja,67.47,Sí,3.6,67.47,20.76,8.18
Sandro Ramírez,CM,19,Las Palmas,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Jaime Mata,CM,17,Las Palmas,-5.625,Rojo,58.85,No,58.85,36.22,2.72,2.21
Javier Muñoz,LB,5,Las Palmas,16.5,Verde,60.0,Sí,2.67,24.0,60.0,13.33
José Campaña,CM,8,Las Palmas,16.125,Verde,58.11,Sí,2.63,27.35,58.11,11.92
Benito Ramírez,LB,11,Las Palmas,-6.125,Rojo,64.41,No,64.41,30.31,2.91,2.37
Dario Essugo,CM,29,Las Palmas,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Álex Muñoz,CB,23,Las Palmas,0.125,Naranja,78.48,Sí,12.81,78.48,4.94,3.76
Scott McKenna,CB,15,Las Palmas,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Mika Màrmol,CB,3,Las Palmas,-0.75,Naranja,77.15,No,14.7,77.15,4.61,3.55
Stefan Bajcetic,CB,21,Las Palmas,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Viti,RB,18,Las Palmas,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Jasper Cillessen,GK,1,Las Palmas,1.5,Naranja,79.77,Sí,10.64,79.77,5.5,4.09
Dani Rodríguez,FW,14,Mallorca,-4.625,Naranja,55.1,No,40.07,55.1,2.67,2.15
Abdón Prats,FW,9,Mallorca,-6.5,Rojo,67.53,No,67.53,27.01,3.0,2.46
Vedat Muriqi,FW,7,Mallorca,-1.125,Naranja,76.41,No,15.67,76.41,4.46,3.45
Roberto Navarro,LM,27,Mallorca,-1.75,Naranja,74.87,No,17.62,74.87,4.22,3.29
Manu Morlanes,CM,8,Mallorca,-3.5,Naranja,67.02,No,26.81,67.02,3.44,2.74
Sergi Darder,CM,10,Mallorca,0.0,Naranja,78.32,Sí,13.05,78.32,4.9,3.73
Omar Mascarell,CM,5,Mallorca,-0.625,Naranja,77.37,No,14.39,77.37,4.65,3.58
Cyle Larin,FW,17,Mallorca,-6.75,Rojo,69.27,No,69.27,25.19,3.04,2.5
Takuma Asano,RM,11,Mallorca,-2.625,Naranja,71.82,No,21.28,71.82,3.86,3.04
Samu Costa,CM,12,Mallorca,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Toni Lato,LB,3,Mallorca,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Antonio Raillo,CB,21,Mallorca,16.375,Verde,59.45,Sí,2.66,25.03,59.45,12.86
Martin Valjent,CB,24,Mallorca,16.25,Verde,58.83,Sí,2.64,26.15,58.83,12.38
Pablo Maffeo,RB,23,Mallorca,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
Dominik Greif,GK,1,Mallorca,0.75,Naranja,79.17,Sí,11.73,79.17,5.19,3.91
