Name,Shirtnumber,Nationality,Position,Age,Minutes,Goals,Assists,Pens Made,Pens Att,Shots,Shots on Target,Cards Yellow,Cards Red,Touches,Tackles,Interceptions,Blocks,XG,NPXG,XG Assist,SCA,GCA,Passes Completed,Passes,Passes %,Progressive Passes,Carries,Progressive Carries,Take Ons,Take Ons Won,GC (Goles en contra),Salvadas,PSxG,Opponent Team,Match Date,Puntuation,Team Style,Year,Month,Day,Reward
Walid Cheddira,16,maMAR,FW,26-222,20,0,1,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.6,2,1,4,4,100.0,1,2,0,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",4.0
Carlos Romero,22,esESP,LM,22-307,90,1,0,0,0,2,1,0,0,46,3,1,1,0.5,0.5,0.2,4,0,23,32,71.9,2,18,0,3,1,1,0,0,Rayo Vallecano,"August 31, 2024",9.0
José Gragera,15,esESP,CM,23-275,45,0,0,0,0,0,0,0,0,18,2,2,2,0.0,0.0,0.0,0,0,7,11,63.6,0,5,0,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",1.0
Álvaro Aguado,18,esESP,CM,28-122,45,0,0,0,0,1,0,1,0,37,1,0,2,0.0,0.0,0.0,4,0,22,26,84.6,4,17,1,1,0,1,0,0,Rayo Vallecano,"August 31, 2024",1.0
Alex Král,20,czCZE,CM,26-104,90,0,0,0,0,2,0,0,0,47,2,2,3,0.2,0.2,0.0,0,0,27,35,77.1,2,17,1,3,2,1,0,0,Rayo Vallecano,"August 31, 2024",5.0
Jofre,17,esESP,RM,23-075,64,0,1,0,0,0,0,0,0,20,0,0,0,0.0,0.0,0.5,1,1,8,14,57.1,1,7,1,1,0,1,0,0,Rayo Vallecano,"August 31, 2024",6.0
Álvaro Tejero,12,esESP,RM,28-042,26,0,0,0,0,0,0,0,0,17,0,0,0,0.0,0.0,0.0,2,0,10,16,62.5,1,3,0,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",1.0
Brian Oliván,14,esESP,LB,30-152,45,0,0,0,0,0,0,0,0,24,3,0,0,0.0,0.0,0.0,1,0,13,20,65.0,4,9,1,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",2.0
Irvin Cardona,24,frFRA,LM,27-023,45,0,0,0,0,1,1,0,0,20,1,2,0,0.5,0.5,0.2,2,1,6,12,50.0,1,9,2,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",2.0
Marash Kumbulla,4,alALB,CB,24-205,90,0,0,0,0,0,0,1,0,65,3,1,1,0.0,0.0,0.0,0,0,45,51,88.2,6,35,2,1,0,1,0,0,Rayo Vallecano,"August 31, 2024",4.0
Fernando Calero,5,esESP,CB,28-352,89,0,0,0,0,0,0,0,0,67,3,3,1,0.0,0.0,0.0,0,0,43,56,76.8,0,34,0,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",5.0
Sergi Gómez,3,esESP,CB,32-156,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,Rayo Vallecano,"August 31, 2024",1.0
Omar El Hilali,23,maMAR,RB,20-354,90,0,0,0,0,0,0,0,0,50,0,0,0,0.0,0.0,0.0,1,0,31,42,73.8,2,22,1,1,1,1,0,0,Rayo Vallecano,"August 31, 2024",4.0
Joan García,1,esESP,GK,23-119,90,0,0,0,0,0,0,0,0,43,0,0,0,0.0,0.0,0.0,0,0,39,42,92.9,0,31,0,0,0,1,4,0.6,Rayo Vallecano,"August 31, 2024",6.0
16 Players,0,0,0,0,990,2,2,0,0,10,3,3,0,520,18,11,12,1.7,1.7,1.6,20,4,300,395,75.9,28,230,9,14,4,1,0,0,Rayo Vallecano,"August 31, 2024",46.0
Sergio Camello,14,esESP,FW,23-203,61,0,0,0,0,1,0,0,0,12,0,0,0,0.2,0.2,0.0,0,0,7,8,87.5,1,6,0,0,0,2,0,0,Espanyol,"August 31, 2024",1.0
Iván Balliu,20,alALB,RB,32-243,29,0,0,0,0,0,0,0,0,17,1,0,1,0.0,0.0,0.0,2,0,9,14,64.3,0,5,0,1,0,2,0,0,Espanyol,"August 31, 2024",-1.0
Adri Embarba,21,esESP,FW,32-116,90,0,1,0,0,2,0,0,0,50,1,1,0,0.1,0.1,0.6,5,0,20,38,52.6,4,22,0,3,1,2,0,0,Espanyol,"August 31, 2024",7.0
Álvaro García,18,esESP,LM,31-309,71,1,0,0,0,2,1,1,0,32,3,0,0,0.6,0.6,0.0,3,0,15,25,60.0,3,17,2,2,1,2,0,0,Espanyol,"August 31, 2024",6.0
Randy Nteka,11,aoANG,FW,26-269,19,0,0,0,0,1,1,0,0,7,1,0,0,0.0,0.0,0.0,0,0,1,4,25.0,0,2,0,0,0,2,0,0,Espanyol,"August 31, 2024",0.0
Unai López,17,esESP,CM,28-306,72,0,0,0,0,1,1,0,0,63,0,2,3,0.0,0.0,0.0,0,0,47,51,92.2,6,28,1,0,0,2,0,0,Espanyol,"August 31, 2024",6.0
Pathé Ciss,6,snSEN,CM,30-168,18,0,0,0,0,0,0,0,0,17,1,0,0,0.0,0.0,0.0,1,0,12,16,75.0,3,11,0,1,1,2,0,0,Espanyol,"August 31, 2024",0.0
Óscar Valentín,23,esESP,CM,30-011,90,0,0,0,0,0,0,0,0,51,2,3,1,0.0,0.0,0.0,4,1,30,35,85.7,5,25,2,1,1,2,0,0,Espanyol,"August 31, 2024",5.0
Jorge de Frutos,19,esESP,RM,27-193,62,0,0,0,0,0,0,0,0,25,1,0,1,0.0,0.0,0.0,3,0,13,17,76.5,1,19,1,3,0,2,0,0,Espanyol,"August 31, 2024",2.0
Isaac Palazón Camacho,7,esESP,LM,29-248,28,0,0,0,0,3,0,0,0,18,0,0,1,0.1,0.1,0.1,3,0,7,10,70.0,1,8,1,3,2,2,0,0,Espanyol,"August 31, 2024",1.0
Alfonso Espino,22,uyURU,LB,32-239,34,0,0,0,0,0,0,0,0,12,0,1,0,0.0,0.0,0.0,0,0,7,10,70.0,1,6,0,0,0,2,0,0,Espanyol,"August 31, 2024",-1.0
Pep Chavarría,3,esESP,LB,26-143,56,0,0,0,0,1,0,0,0,43,0,1,0,0.0,0.0,0.0,0,0,34,40,85.0,1,20,1,0,0,2,0,0,Espanyol,"August 31, 2024",1.0
Abdul Mumin,16,ghGHA,CB,26-086,90,0,0,0,0,0,0,1,0,62,1,1,2,0.0,0.0,0.0,2,1,49,55,89.1,5,34,1,1,0,2,0,0,Espanyol,"August 31, 2024",2.0
Florian Lejeune,24,frFRA,CB,33-103,90,0,0,0,0,5,2,0,0,76,3,0,0,0.3,0.3,0.0,1,0,49,62,79.0,9,42,2,0,0,2,0,0,Espanyol,"August 31, 2024",3.0
Andrei Ratiu,2,roROU,RB,26-072,90,0,0,0,0,1,0,0,0,43,1,0,1,0.0,0.0,0.1,1,0,25,33,75.8,1,21,3,1,1,2,0,0,Espanyol,"August 31, 2024",3.0
Cárdenas,1,esESP,GK,27-156,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,0,0,22,27,81.5,0,17,0,0,0,2,1,1.6,Espanyol,"August 31, 2024",1.0
16 Players,0,0,0,0,990,1,1,0,0,17,5,2,0,558,15,9,10,1.3,1.3,0.8,25,2,347,445,78.0,41,283,14,16,7,2,0,0,Espanyol,"August 31, 2024",44.0

